Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative target magnitude,Relative check1 magnitude,Relative check2 magnitude,real ref mag,real targ mag,real ch1 mag,real ch 2 mag,,SNR(target),SNR(ref),error on flux(target),error on flux(ref),error on target mag,,ref mag (SIMBAD)
2459632.496,288351,581.006,-13.6498,0.0022,82028.5,354.579,-12.2849,0.0047,51911.6,309.044,-11.7882,0.0065,7851.52,226.822,-9.7374,0.0314,-1.3649,0.4967,2.5475,,9.54510827,11.40675089,13.45752757,,496.2960796,231.3405475,0.00218821,0.004694378,0.070191349,,
2459632.498,274580,569.132,-13.5967,0.0023,78708.3,349.793,-12.2401,0.0048,49445.8,314.196,-11.7353,0.0069,7717.72,226.638,-9.7187,0.0319,-1.3566,0.5048,2.5214,,9.553379079,11.41472781,13.43132879,,482.4539826,225.0139368,0.002250992,0.004826368,0.070202285,,
2459632.499,279000,567.998,-13.614,0.0022,80924.7,360.909,-12.2702,0.0048,51391.8,308.243,-11.7772,0.0065,7686.96,226.515,-9.7144,0.032,-1.3438,0.493,2.5558,,9.566192237,11.40296817,13.46581619,,491.1989127,224.2246661,0.002210917,0.004843357,0.070202181,,
2459632.501,279703,572.735,-13.6167,0.0022,81965.9,346.947,-12.2841,0.0046,51036.6,307.707,-11.7697,0.0065,8356,240.18,-9.805,0.0312,-1.3326,0.5144,2.4791,,9.577340218,11.42437869,13.38908695,,488.3637284,236.2490524,0.002223752,0.004596844,0.07018601,,
2459632.502,275307,564.76,-13.5995,0.0022,81019.4,353.046,-12.2715,0.0047,50823.1,316.335,-11.7652,0.0068,8179.2,227.765,-9.7818,0.0302,-1.328,0.5063,2.4897,,9.581929422,11.41631968,13.39969549,,487.476096,229.4868091,0.002227802,0.004732298,0.07019514,,
2459632.504,268454,558.615,-13.5722,0.0023,79363.6,350.693,-12.2491,0.0048,50053.5,315.207,-11.7486,0.0068,7870.52,226.919,-9.74,0.0313,-1.3231,0.5005,2.5091,,9.5868787,11.41046727,13.41904483,,480.5706972,226.3050588,0.002259813,0.004798832,0.070200681,,
2459632.505,252320,554.553,-13.5049,0.0024,75161.1,352.753,-12.19,0.0051,47568.3,302.019,-11.6933,0.0069,0,0,0,0,-1.3149,0.4967,12.19,,9.595103629,11.40668874,0,,454.9970877,213.0700518,0.002386828,0.005096915,0.070225889,,
2459633.305,421323,690.313,-14.0615,0.0018,95272.3,375.742,-12.4474,0.0043,60526.5,340.34,-11.9549,0.0061,9731.28,254.896,-9.9704,0.0284,-1.6141,0.4925,2.477,,9.295878705,11.40255272,13.3869917,,610.3361808,253.5577604,0.001779347,0.004283048,0.070153479,,
2459633.311,400120,679.436,-14.0055,0.0018,95938.6,388.859,-12.455,0.0044,59861.3,339.22,-11.9429,0.0062,9345.28,242.054,-9.9265,0.0281,-1.5505,0.5121,2.5285,,9.359507791,11.42211808,13.43850265,,588.9002055,246.7182192,0.001844116,0.004401783,0.0701625,,
2459633.317,387004,660.491,-13.9693,0.0019,95782.5,388.658,-12.4532,0.0044,60691,331.609,-11.9578,0.0059,9200.12,241.872,-9.9095,0.0285,-1.5161,0.4954,2.5437,,9.393926786,11.40540469,13.45373169,,585.9337977,246.4441746,0.001853452,0.004406678,0.070163054,,
2459633.322,369921,652.069,-13.9203,0.0019,95525.1,373.024,-12.4503,0.0042,60421.2,340.091,-11.953,0.0061,9382.4,242.131,-9.9308,0.028,-1.47,0.4973,2.5195,,9.440021286,11.40732039,13.42950889,,567.3034602,256.0829866,0.001914319,0.004240813,0.070154466,,
2459633.328,360152,644.584,-13.8912,0.0019,96508.2,389.468,-12.4614,0.0044,60756.4,322.402,-11.959,0.0058,9182.8,241.836,-9.9074,0.0286,-1.4298,0.5024,2.554,,9.480195962,11.41243046,13.46397273,,558.7355566,247.7949408,0.001943674,0.004382656,0.07016399,,
2459633.333,348718,630.821,-13.8562,0.002,96543.4,389.636,-12.4618,0.0044,60843.4,331.839,-11.9605,0.0059,9380,242.185,-9.9305,0.028,-1.3944,0.5013,2.5313,,9.515620561,11.41127279,13.44129938,,552.8002397,247.7784394,0.001964543,0.004382948,0.07016459,,
2459633.339,339607,623.58,-13.8274,0.002,95953.5,388.755,-12.4552,0.0044,60673.4,331.582,-11.9575,0.0059,9576,230.811,-9.953,0.0262,-1.3722,0.4977,2.5022,,9.537710468,11.40765622,13.41219171,,544.6085506,246.8225489,0.001994093,0.004399922,0.070166486,,
2459633.344,330368,616.151,-13.7975,0.002,95522.4,380.483,-12.4503,0.0043,61555.1,333.081,-11.9732,0.0059,0,0,0,0,-1.3472,0.4771,12.4503,,9.562768128,11.38710296,0,,536.1802545,251.0556319,0.002025438,0.004325734,0.070162771,,
2459633.35,319655,607.418,-13.7617,0.0021,95732.9,373.37,-12.4527,0.0042,60710.4,331.595,-11.9582,0.0059,9167.12,254.755,-9.9056,0.0302,-1.309,0.4945,2.5471,,9.600949283,11.4044953,13.45707075,,526.2521032,256.4022284,0.00206365,0.004235533,0.070158381,,
2459633.355,311307,600.483,-13.733,0.0021,95038.9,372.406,-12.4448,0.0043,60887.4,331.905,-11.9613,0.0059,9529.56,242.493,-9.9477,0.0276,-1.2882,0.4835,2.4971,,9.621781287,11.39343493,13.40707138,,518.4276657,255.2023866,0.002094796,0.004255446,0.070160509,,
2459633.361,306170,601.121,-13.7149,0.0021,94364.3,371.601,-12.437,0.0043,59683.7,330.13,-11.9396,0.006,8930.84,241.197,-9.8772,0.0293,-1.2779,0.4974,2.5598,,9.632112721,11.40737996,13.46978853,,509.3317319,253.9398441,0.002132206,0.004276603,0.070162922,,
2459633.372,299723,595.788,-13.6918,0.0022,93826.7,386.093,-12.4308,0.0045,58891.9,337.835,-11.9251,0.0062,8963.16,253.322,-9.8812,0.0307,-1.261,0.5057,2.5496,,9.649015928,11.41567719,13.45966323,,503.0698839,243.0158019,0.002158746,0.004468845,0.070175713,,
2459633.378,303471,593.875,-13.7053,0.0021,92710.9,369.859,-12.4178,0.0043,58611.2,337.372,-11.92,0.0062,8709.44,241.034,-9.85,0.03,-1.2875,0.4978,2.5678,,9.622534003,11.40787546,13.47785141,,511.0014734,250.6655239,0.002125238,0.004332467,0.070166138,,
2459633.383,313914,602.626,-13.742,0.0021,91799.7,383.417,-12.4071,0.0045,58737.4,328.737,-11.9223,0.0061,0,0,0,0,-1.3349,0.4848,12.4071,,9.575076443,11.39481636,0,,520.9101499,239.4252211,0.002084813,0.004535863,0.070177778,,
2459633.389,341512,625.151,-13.8335,0.002,92039,368.39,-12.4099,0.0043,58663.9,328.495,-11.9209,0.0061,8992.72,229.544,-9.8847,0.0277,-1.4236,0.489,2.5252,,9.486414807,11.3990024,13.43520205,,546.287217,249.8412009,0.001987965,0.004346761,0.070162998,,
2459633.394,386847,660.746,-13.9688,0.0019,91390.8,367.544,-12.4023,0.0044,57954.1,318.749,-11.9077,0.006,9070.08,241.485,-9.894,0.0289,-1.5665,0.4946,2.5083,,9.343408114,11.40454578,13.4182284,,585.4700596,248.6526783,0.00185492,0.004367538,0.070160645,,
2459633.405,472720,726.609,-14.1865,0.0017,92263.6,368.764,-12.4126,0.0043,58259.7,327.836,-11.9134,0.0061,8948.64,241.234,-9.8794,0.0293,-1.7739,0.4992,2.5332,,9.136066048,11.40915538,13.4431834,,650.583739,250.1968739,0.00166927,0.004340582,0.070154309,,
2459633.411,465928,721.943,-14.1708,0.0017,92226,368.576,-12.4121,0.0043,0,0,0,0,8461.6,228.273,-9.8186,0.0293,-1.7587,12.4121,2.5935,,9.151336407,0,13.5035022,,645.380591,250.2224779,0.001682728,0.004340138,0.070154603,,
2459633.417,448479,705.495,-14.1294,0.0017,91929.6,383.545,-12.4086,0.0045,58239.3,327.848,-11.913,0.0061,8725.36,228.85,-9.852,0.0285,-1.7208,0.4956,2.5566,,9.189283146,11.40559806,13.46668004,,635.6940871,239.6840006,0.001708369,0.004530966,0.070167287,,
2459633.422,424796,688.507,-14.0705,0.0018,92230.8,368.685,-12.4122,0.0043,58301,310.942,-11.9142,0.0058,9178.96,241.828,-9.907,0.0286,-1.6583,0.498,2.5052,,9.251738893,11.40799993,13.41520625,,616.9813815,250.16152,0.001760183,0.004341195,0.070156569,,
2459633.428,399663,670.006,-14.0042,0.0018,92009,368.281,-12.4096,0.0043,58205.1,311.411,-11.9124,0.0058,9375.96,230.267,-9.93,0.0267,-1.5946,0.4972,2.4796,,9.315340916,11.40717318,13.38953641,,596.5065984,249.8336868,0.0018206,0.004346892,0.070158464,,
2459633.433,381591,652.438,-13.954,0.0019,92353.5,368.714,-12.4136,0.0043,57883.4,327.305,-11.9064,0.0061,9155.16,229.787,-9.9042,0.0273,-1.5404,0.5072,2.5094,,9.36963809,11.41724831,13.41946855,,584.8693669,250.4746226,0.001856825,0.004335769,0.070158725,,
2459633.439,364497,643.272,-13.9042,0.0019,92143.3,361.316,-12.4112,0.0043,57665.8,318.257,-11.9023,0.006,8941.6,241.219,-9.8785,0.0293,-1.493,0.5089,2.5327,,9.416924509,11.4188636,13.44262131,,566.6296683,255.0213663,0.001916596,0.004258467,0.070155598,,
2459633.444,350876,632.596,-13.8629,0.002,91741.2,375.481,-12.4064,0.0044,57847.5,327.381,-11.9057,0.0061,9172.92,241.757,-9.9063,0.0286,-1.4565,0.5007,2.5001,,9.453526883,11.41069955,13.41014203,,554.6604784,244.3298063,0.001957955,0.004444812,0.070168297,,
2459633.45,338851,622.951,-13.825,0.002,92189.4,368.594,-12.4117,0.0043,58144.3,319.008,-11.9113,0.006,8909.92,229.198,-9.8747,0.0279,-1.4133,0.5004,2.537,,9.496680542,11.41043461,13.44701796,,543.9448689,250.1109622,0.001996526,0.004342073,0.070162951,,
