Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative Target Mag,Relative Check1 Mag,Relative Check2 Mag,,rel V mag,B-V,ref mag real,real target mag B,real ch1 mag,real ch2 mag,real targ mag V,B-v real,B-Verror,SNR(Target),SNR(ref),Error on flux(target),error on flux(ref),error on ref (SIMBAD),Error on target mag B,,error on target mag V
2459632.485,172926,459.66,-13.0946,0.0029,35449.3,253.568,-11.374,0.0078,28772.6,259.06,-11.1474,0.0098,3458.44,215.975,-8.8472,0.0678,-1.7206,0.2266,2.5268,,-1.4297,-0.2909,,10.10936842,12.05657139,14.35681855,9.480366919,0.629001501,0.147967484,376.2041509,139.8019466,0.002886731,0.007768132,,0.130263875,,0.070183325
2459632.487,170742,451.84,-13.0809,0.0029,35139.2,271.07,-11.3645,0.0084,28863.4,249.522,-11.1509,0.0094,3025.72,203.439,-8.7021,0.073,-1.7164,0.2136,2.6624,,-1.4225,-0.2939,,10.11362876,12.04361095,14.49240783,9.487477515,0.626151249,0.148003739,377.881551,129.6314605,0.002873916,0.008377596,,0.130301357,,0.070190192
2459632.489,167810,454.086,-13.062,0.0029,34922.8,270.67,-11.3578,0.0084,28090.4,257.913,-11.1214,0.01,3504.76,204.613,-8.8616,0.0634,-1.7042,0.2364,2.4962,,-1.4032,-0.301,,10.12572805,12.06637783,14.32612693,9.506811961,0.618916088,0.148007798,369.5555467,129.0235342,0.002938665,0.008417069,,0.130305344,,0.070191349
2459632.495,159152,439.263,-13.0045,0.003,34630,260.859,-11.3486,0.0082,27780.9,257.182,-11.1094,0.0101,3250.72,191.692,-8.7799,0.064,-1.6559,0.2392,2.5687,,-1.3707,-0.2852,,10.17410098,12.06926545,14.39868232,9.539321329,0.634779648,0.148000901,362.3159702,132.7537099,0.002997384,0.008180562,,0.130291619,,0.070202285
2459632.497,154510,433.572,-12.9724,0.003,34262.1,269.447,-11.337,0.0085,28002.1,247.79,-11.118,0.0096,3864.48,205.598,-8.9677,0.0578,-1.6354,0.219,2.3693,,-1.3649,-0.2705,,10.19464346,12.04905844,14.19930729,9.54510827,0.649535194,0.148022212,356.3652634,127.1571033,0.003047435,0.008540616,,0.130315882,,0.070202181
2459632.498,149473,431.942,-12.9364,0.0031,32983.7,267.064,-11.2957,0.0088,26765.2,255.2,-11.0689,0.0104,3310.48,204.083,-8.7997,0.0669,-1.6407,0.2268,2.496,,-1.3566,-0.2841,,10.18934155,12.0568222,14.32602101,9.553379079,0.635962473,0.148031229,346.0487751,123.5048528,0.003138286,0.008793177,,0.130334833,,0.07018601
2459632.5,148214,426.228,-12.9272,0.0031,32792.9,266.707,-11.2894,0.0088,27000.9,255.575,-11.0784,0.0103,2992.52,215.846,-8.6901,0.0783,-1.6378,0.211,2.5993,,-1.3438,-0.294,,10.19222649,12.04100396,14.42935691,9.566192237,0.626034254,0.148037578,347.7340766,122.9547781,0.003123076,0.008832516,,0.130337128,,0.07019514
2459632.502,76027.6,323.792,-12.2024,0.0046,17193.2,235.607,-10.5884,0.0149,14185.7,218.181,-10.3796,0.0167,0,0,0,0,-1.614,0.2088,10.5884,,-1.3326,-0.2814,,10.21596359,12.03876486,0,9.577340218,0.638623367,0.148563122,234.8038247,72.97406274,0.004625138,0.014882,,0.130930767,,0.070200681
2459632.503,148867,426.948,-12.932,0.0031,33730.7,268.459,-11.3201,0.0086,27377.3,266.41,-11.0935,0.0106,3117.76,203.72,-8.7346,0.0709,-1.6119,0.2266,2.5855,,-1.328,-0.2839,,10.21806729,12.05658685,14.41545668,9.581929422,0.636137872,0.148040819,348.6771223,125.6456293,0.003114629,0.008643357,,0.130324244,,0.070225889
2459632.504,137957,419.929,-12.8494,0.0033,31790.5,264.863,-11.2557,0.009,26052.7,253.888,-11.0396,0.0106,3090.56,203.544,-8.7251,0.0715,-1.5937,0.2161,2.5306,,-1.3231,-0.2706,,10.23638404,12.04611155,14.36065045,9.5868787,0.649505342,0.14803481,328.5245839,120.0262022,0.003305689,0.009048024,,0.130356413,,0.070153479
2459632.506,136872,418.635,-12.8408,0.0033,31254.6,273.682,-11.2373,0.0095,25886.6,253.472,-11.0327,0.0106,3157.8,202.705,-8.7485,0.0697,-1.6035,0.2046,2.4888,,-1.3149,-0.2886,,10.22649833,12.03459733,14.31882331,9.595103629,0.631394701,0.148068369,326.9482962,114.2004224,0.003321626,0.009509597,,0.130389668,,0.0701625
2459633.308,242464,534.87,-13.4616,0.0024,39893.9,279.782,-11.5023,0.0076,33565.1,268.192,-11.3147,0.0087,3448.4,204.529,-8.844,0.0644,-1.9593,0.1876,2.6583,,-1.6141,-0.3452,,9.870648073,12.01754637,14.48822215,9.295878705,0.574769368,0.147941208,453.3138894,142.5892302,0.002395691,0.007616283,,0.13024495,,0.070163054
2459633.314,228596,521.769,-13.3977,0.0025,40971.3,290.892,-11.5312,0.0077,33120.8,277.116,-11.3003,0.0091,4159.2,206.152,-9.0475,0.0538,-1.8665,0.2309,2.4837,,-1.5505,-0.316,,9.963527793,12.06094731,14.31367485,9.359507791,0.604020002,0.147943385,438.1172511,140.8471185,0.002478788,0.007710488,,0.130252048,,0.070154466
2459633.319,218449,506.787,-13.3484,0.0025,40760.6,290.487,-11.5256,0.0077,33924.2,259.502,-11.3263,0.0083,3860.04,205.533,-8.9665,0.0578,-1.8228,0.1993,2.5591,,-1.5161,-0.3067,,10.00722627,12.02932738,14.38912191,9.393926786,0.613299482,0.147950106,431.0469685,140.3181554,0.002519447,0.007739554,,0.130254552,,0.07016399
2459633.325,204568,492.856,-13.2771,0.0026,40675.6,299.915,-11.5233,0.008,33337.3,267.85,-11.3073,0.0087,3530.6,204.73,-8.8696,0.063,-1.7538,0.216,2.6537,,-1.47,-0.2838,,10.07624067,12.04600886,14.48371363,9.440021286,0.636219385,0.147966329,415.0664697,135.6237601,0.002616448,0.008007446,,0.130272656,,0.07016459
2459633.33,101398,367.251,-12.5151,0.0039,20757.4,243.19,-10.7929,0.0127,16854.5,234.064,-10.5668,0.0151,1645.6,200.018,-8.0408,0.132,-1.7222,0.2261,2.7521,,-1.4298,-0.2924,,10.10785891,12.0561427,14.58212169,9.480195962,0.627662952,0.148326301,276.099997,85.35466096,0.003933358,0.012723383,,0.130680357,,0.070166486
2459633.336,192114,474.861,-13.2089,0.0027,40987.7,290.964,-11.5316,0.0077,33244.8,277.294,-11.3043,0.0091,4292.48,218.951,-9.0818,0.0554,-1.6773,0.2273,2.4498,,-1.3944,-0.2829,,10.15273634,12.05732456,14.27986317,9.515620561,0.637115775,0.147950848,404.568916,140.8686298,0.002684339,0.00770931,,0.130256052,,0.070162771
2459633.342,186622,479.864,-13.1774,0.0028,40801.5,272.431,-11.5267,0.0072,34014.7,259.677,-11.3292,0.0083,3940,205.674,-8.9887,0.0567,-1.6507,0.1975,2.538,,-1.3722,-0.2785,,10.17928323,12.02752371,14.36794977,9.537710468,0.641572757,0.147927604,388.9060234,149.7681982,0.002792448,0.007251206,,0.130232015,,0.070158381
2459633.347,179868,472.8,-13.1374,0.0029,40740.9,290.54,-11.5251,0.0077,33667.6,268.466,-11.318,0.0087,3909.12,182.857,-8.9802,0.0508,-1.6123,0.2071,2.5449,,-1.3472,-0.2651,,10.21769178,12.03704615,14.37487904,9.562768128,0.654923654,0.147954812,380.4314721,140.2247539,0.002854653,0.00774471,,0.130261773,,0.070160509
2459633.353,174103,466.583,-13.102,0.0029,40763.4,272.397,-11.5257,0.0073,33447.4,258.619,-11.3109,0.0084,4390.28,219.232,-9.1062,0.0542,-1.5763,0.2148,2.4195,,-1.309,-0.2673,,10.25366036,12.04477009,14.24944545,9.600949283,0.652711082,0.14793232,373.1447567,149.6470225,0.002910399,0.007257077,,0.130234925,,0.070162922
2459633.358,168332,454.611,-13.0654,0.0029,39600.7,279.257,-11.4943,0.0077,32660.3,265.692,-11.2851,0.0088,3891.2,217.917,-8.9752,0.0608,-1.5711,0.2092,2.5191,,-1.2882,-0.2829,,10.25884045,12.03920673,14.34904827,9.621781287,0.637059161,0.147959055,370.2770061,141.8073674,0.002932939,0.007658276,,0.130258402,,0.070175713
2459633.364,166130,452.257,-13.0511,0.003,39526.8,288.312,-11.4922,0.0079,31956.9,265.302,-11.2614,0.009,3715.44,205.127,-8.925,0.0599,-1.5589,0.2308,2.5672,,-1.2779,-0.281,,10.27110898,12.06081753,14.39720351,9.632112721,0.638996257,0.147968833,367.3353867,137.0973112,0.002956426,0.007921381,,0.130274666,,0.070166138
2459633.369,163662,449.445,-13.0349,0.003,38822.4,287.175,-11.4727,0.008,32323.6,275.628,-11.2738,0.0093,3798.4,205.383,-8.949,0.0587,-1.5622,0.1989,2.5237,,-13.6856,12.1234,,10.26783631,12.02890664,14.35370421,9.649015928,0.618820387,0.147980907,364.1424423,135.1872552,0.002982349,0.008033302,,0.130282111,,0.070177778
2459633.375,164253,450.103,-13.0388,0.003,39730.1,280.182,-11.4978,0.0077,32128.5,256.095,-11.2672,0.0087,3973.84,205.864,-8.998,0.0562,-1.541,0.2306,2.4998,,-1.261,-0.28,,10.28901587,12.06057302,14.3297732,9.622534003,0.666481866,0.147953902,364.9231398,141.8010436,0.002975969,0.007658618,,0.130259398,,0.070162998
2459633.38,169268,455.664,-13.0714,0.0029,39059,278.286,-11.4793,0.0077,31472.3,264.219,-11.2448,0.0091,3438.28,217.05,-8.8409,0.0685,-1.5921,0.2345,2.6384,,-1.2875,-0.3046,,10.23786564,12.06448159,14.4684497,9.575076443,0.662789201,0.147955844,371.4754732,140.3556054,0.002923477,0.007737489,,0.130262871,,0.070160645
2459633.386,182299,475.285,-13.152,0.0028,38958.4,268.991,-11.4765,0.0075,31783.4,274.646,-11.2555,0.0094,3409.12,204.325,-8.8316,0.0651,-1.6755,0.221,2.6449,,-1.3349,-0.3406,,10.15454206,12.0510019,14.47489706,9.486414807,0.668127258,0.147938735,383.5572341,144.8316115,0.00283139,0.007498363,,0.130246851,,0.070154309
